,id,stationCode,stationName,location
874,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101497,SEG Automotive Main Gate-2,"{'type': 'Point', 'coordinates': [77.66187792, 12.87155193]}"
875,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101498,BOSCH Gate 1,"{'type': 'Point', 'coordinates': [77.66041126102209, 12.871012630195011]}"
876,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101499,Natural Remedies,"{'type': 'Point', 'coordinates': [77.68065422773361, 12.843297973697757]}"
877,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101500,Mactech Engineering,"{'type': 'Point', 'coordinates': [77.67928764224052, 12.841449414849297]}"
878,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101502,Esteem Emblem,"{'type': 'Point', 'coordinates': [77.68425207585095, 12.838582895913369]}"
879,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101504,Opposite Vikas Plaza,"{'type': 'Point', 'coordinates': [77.67448968, 12.84467892]}"
880,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101505,Suvidya College,"{'type': 'Point', 'coordinates': [77.68032465130091, 12.833687607547548]}"
881,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101507,Sri GURU PG For Gents,"{'type': 'Point', 'coordinates': [77.68518, 12.82518]}"
882,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101508,Zolo Winterfell,"{'type': 'Point', 'coordinates': [77.67239168286324, 12.851036602751703]}"
883,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101509,Opposite Baba Randav Dhaba,"{'type': 'Point', 'coordinates': [77.67418977, 12.85563659]}"
884,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101510,Zolo Aviano,"{'type': 'Point', 'coordinates': [77.68344338983297, 12.848117565217747]}"
885,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101511,E Golden Abode,"{'type': 'Point', 'coordinates': [77.67361745238304, 12.851244497075937]}"
886,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101512,Y Junction 2,"{'type': 'Point', 'coordinates': [77.6746953651309, 12.847634433449336]}"
887,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101513,"Intermediate Ring Rd Bus Stop, Ejipura","{'type': 'Point', 'coordinates': [77.63343782, 12.93871359]}"
888,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101515,Ocean Lifespaces India Private Limited,"{'type': 'Point', 'coordinates': [77.64553673565388, 12.979203700441252]}"
889,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101516,Next to ISRO Housing Colony,"{'type': 'Point', 'coordinates': [77.641577, 12.958519]}"
890,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101517,Old Baiyyapanahalli Railway Station,"{'type': 'Point', 'coordinates': [77.6519923, 12.991362670000001]}"
891,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101518,Vagdevi Layout,"{'type': 'Point', 'coordinates': [77.7133, 12.94504]}"
892,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101519,Sri Durga Bakery,"{'type': 'Point', 'coordinates': [77.71084638, 12.95020178]}"
893,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101520,Princeton Meadows,"{'type': 'Point', 'coordinates': [77.70746579, 12.95490109]}"
894,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101522,Shangri La Hotel Circle,"{'type': 'Point', 'coordinates': [77.58887942880392, 12.99043966964683]}"
895,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101523,"Canara Bank, Vasanth Nagar","{'type': 'Point', 'coordinates': [77.59464109, 12.99430761]}"
896,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101524,Safina Business Park,"{'type': 'Point', 'coordinates': [77.59122971445322, 12.987715340084975]}"
897,yulu.bike/8d3f8797db270e3c2f4a63aaa8b09bf63d66932b/rs.iudx.org.in/bengaluru-yulu-docking-locations/yulu-station-locations,101525,Opp. Safina Tower Ali Asker Road,"{'type': 'Point', 'coordinates': [77.59107884019613, 12.986626776016486]}"
